Move #	Angle (radians)	Distance(ft)
0	0.12435499454676147	8.06225774829855
1	0.040793682867865444	6.082762530298219
2	-2.803898120076559	22.825424421026653
3	0.39321217364348315	19.209372712298546
4	0.6747409422235525	1.0
5	2.843093722003614	13.601470508735444
6	-0.3962393446105237	15.620499351813308
7	-0.8760580505981936	20.0
